Feature Index,Importance
15,0.121019684
1,0.06635683
20,0.05412301
24,0.052566614
31,0.05000823
30,0.046646304
29,0.043578397
25,0.039007995
11,0.03160441
3,0.029356001
5,0.028194413
26,0.02615987
4,0.025668168
23,0.025110254
16,0.023460148
10,0.02275159
2,0.02258009
7,0.02248953
19,0.022035744
9,0.021931374
27,0.02184664
28,0.021616941
6,0.021217603
17,0.020124478
12,0.019457234
8,0.019327996
14,0.01909206
18,0.017946264
13,0.017106954
22,0.016356966
0,0.016240794
21,0.015017389
